 110000 北京
 210624 118200 辽宁省-丹东市-宽甸满族自治县
 210681 118300 辽宁省-丹东市-东港市
 210682 118100 辽宁省-丹东市-凤城市
 210700 121000 辽宁省-锦州市
 210702 121000 辽宁省-锦州市-古塔区
 210703 121000 辽宁省-锦州市-凌河区
 210711 121000 辽宁省-锦州市-太和区
 210726 121400 辽宁省-锦州市-黑山县
 210727 121100 辽宁省-锦州市-义县
 210781 121200 辽宁省-锦州市-凌海市
 210782 121300 辽宁省-锦州市-北镇市
 210800 115000 辽宁省-营口市
 210802 115000 辽宁省-营口市-站前区
 210803 115000 辽宁省-营口市-西市区
 210804 115000 辽宁省-营口市-鲅鱼圈区
 210811 115000 辽宁省-营口市-老边区
 210881 115200 辽宁省-营口市-盖州市
 210882 115100 辽宁省-营口市-大石桥市
 210900 123000 辽宁省-阜新市
 210902 123000 辽宁省-阜新市-海州区
 210903 123000 辽宁省-阜新市-新邱区
 210904 123000 辽宁省-阜新市-太平区
 210905 123000 辽宁省-阜新市-清河门区
 210911 123000 辽宁省-阜新市-细河区
 210921 123100 辽宁省-阜新市-阜新蒙古族自治县
 210922 123200 辽宁省-阜新市-彰武县
 211000 111000 辽宁省-辽阳市
 211002 111000 辽宁省-辽阳市-白塔区
 211003 111000 辽宁省-辽阳市-文圣区
 211004 111000 辽宁省-辽阳市-宏伟区
 211005 111000 辽宁省-辽阳市-弓长岭区
 211011 111000 辽宁省-辽阳市-太子河区
 211021 111200 辽宁省-辽阳市-辽阳县
 211081 111300 辽宁省-辽阳市-灯塔市
 211100 124000 辽宁省-盘锦市
 211102 124000 辽宁省-盘锦市-双台子区
 211103 124000 辽宁省-盘锦市-兴隆台区
 211121 124200 辽宁省-盘锦市-大洼县
 211122 124100 辽宁省-盘锦市-盘山县
 211200 112000 辽宁省-铁岭市
 211202 112000 辽宁省-铁岭市-银州区
 211204 112000 辽宁省-铁岭市-清河区
 211221 112600 辽宁省-铁岭市-铁岭县
 211223 112400 辽宁省-铁岭市-西丰县
 211224 112500 辽宁省-铁岭市-昌图县
 211281 112700 辽宁省-铁岭市-调兵山市
 211282 112300 辽宁省-铁岭市-开原市
 211300 122000 辽宁省-朝阳市
 211302 122000 辽宁省-朝阳市-双塔区
 211303 122000 辽宁省-朝阳市-龙城区
 211321 122000 辽宁省-朝阳市-朝阳县
 211322 122400 辽宁省-朝阳市-建平县
 211324 122300 辽宁省-朝阳市-喀喇沁左翼蒙古族自治县
 211381 122100 辽宁省-朝阳市-北票市
 211382 122500 辽宁省-朝阳市-凌源市
 211400 125000 辽宁省-葫芦岛市
 211402 125000 辽宁省-葫芦岛市-连山区
 211403 125000 辽宁省-葫芦岛市-龙港区
 211404 125000 辽宁省-葫芦岛市-南票区
 211421 125200 辽宁省-葫芦岛市-绥中县
 211422 125300 辽宁省-葫芦岛市-建昌县
 211481 125100 辽宁省-葫芦岛市-兴城市
 211500 116100 辽宁省-金普新区
 211501 116100 辽宁省-金普新区-金州新区
 211502 116200 辽宁省-金普新区-普湾新区
 211503 116100 辽宁省-金普新区-保税区
 220000 吉林省
 220100 130000 吉林省-长春市
 220102 130000 吉林省-长春市-南关区
 220103 130000 吉林省-长春市-宽城区
 220104 130000 吉林省-长春市-朝阳区
 220105 130000 吉林省-长春市-二道区
 220106 130000 吉林省-长春市-绿园区
 220112 130600 吉林省-长春市-双阳区
 220113 130500 吉林省-长春市-九台区
 220122 130200 吉林省-长春市-农安县
 220182 130400 吉林省-长春市-榆树市
 220183 130300 吉林省-长春市-德惠市
 220200 132000 吉林省-吉林市
 220202 132000 吉林省-吉林市-昌邑区
 220203 132000 吉林省-吉林市-龙潭区
 220204 132000 吉林省-吉林市-船营区
 220211 132000 吉林省-吉林市-丰满区
 220221 132100 吉林省-吉林市-永吉县
 220281 132500 吉林省-吉林市-蛟河市
 220282 132400 吉林省-吉林市-桦甸市
 220283 132600 吉林省-吉林市-舒兰市
 220284 132300 吉林省-吉林市-磐石市
 220300 136000 吉林省-四平市
 220302 136000 吉林省-四平市-铁西区
 220303 136000 吉林省-四平市-铁东区
 220322 136500 吉林省-四平市-梨树县
